STUDYID,SITEID,SITENAME,CAT
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Outstanding > 90 days
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Outstanding > 90 days
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,02,Site 2,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,08,Site 8,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Outstanding > 90 days
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Outstanding > 90 days
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
sample,09,Site 9,Received
