Time,FSC.A,FSC.H,SSC.A
9.3,140207.3,85605,12187.1
9.3,88394.3,58298,262143.0
9.4,79553.8,54134,16708.5
9.4,130409.8,82635,29339.3
9.4,140332.1,85351,29318.6
9.5,197459.3,114749,22494.2
9.6,189490.9,99689,37155.4
9.6,151571.9,79704,39268.5
9.6,190199.9,113914,262143.0
9.6,98258.9,62544,262143.0
9.7,151971.3,94929,17218.9
9.7,183663.5,106642,40107.9
9.7,117136.5,76826,33034.4
9.8,200988.8,123088,262143.0
9.9,164080.8,100135,24563.1
9.9,168899.6,99052,31005.0
9.9,108753.8,61833,18803.8
9.9,183268.8,110878,25899.8
10.0,164793.7,95458,41560.2
10.1,157271.4,93619,29939.0
10.1,143228.3,88380,28044.9
10.1,99835.3,54802,31427.0
10.4,163186.9,92208,28249.8
10.5,170068.9,93174,42854.6
10.6,186664.1,113635,27084.2
10.6,138284.6,85626,25369.7
10.7,160817.3,100934,233846.6
10.8,177967.9,105975,239223.4
10.8,104696.3,63660,26022.0
11.0,130972.9,69794,21085.1
11.1,126388.9,79839,19881.0
11.1,180218.2,100685,20407.4
11.1,169704.6,99191,21118.0
11.2,109902.0,67417,15610.6
11.2,191509.5,105987,262143.0
11.3,158457.8,98405,27459.3
11.5,143293.0,94599,262143.0
11.5,70650.1,47014,195129.9
11.6,140375.0,85549,51511.1
11.6,120726.8,69828,21185.7
11.6,169248.3,103859,201677.0
11.7,124063.7,77006,262143.0
11.7,174398.6,103567,36007.6
11.9,176711.3,107162,37023.8
11.9,86542.6,54934,30048.0
11.9,135387.7,80915,18093.1
12.0,84502.9,39598,18031.1
12.0,73722.5,41830,215256.2
12.1,164115.9,98185,21066.3
12.1,137181.7,73369,44168.7
12.3,139100.5,86764,24358.2
12.4,175768.3,104276,31795.5
12.4,156333.8,96986,32191.2
12.5,149734.3,99282,28028.0
12.5,118769.8,75407,26820.1
12.6,239905.4,127740,262143.0
12.6,144151.8,93036,19147.8
12.6,93794.2,60132,262143.0
12.7,133963.4,83374,28456.6
12.8,198239.3,112444,84671.4
12.8,216830.6,122706,99154.0
12.8,181596.5,100832,31302.0
12.8,141283.0,80089,36377.1
12.9,65561.3,33743,9914.2
12.9,147104.9,80061,21830.6
13.0,102962.3,58942,213481.5
13.0,193994.6,117059,30467.3
13.1,207030.7,113877,262143.0
13.1,153369.8,89589,35855.4
13.2,154719.2,88671,27378.4
13.2,229333.3,131608,49646.1
13.3,158392.3,95948,22376.7
13.7,140325.1,82632,29687.1
13.7,175969.5,109234,33469.6
13.7,76579.6,50130,13944.9
13.8,208309.9,119834,107974.0
13.9,134326.9,87539,262143.0
13.9,227756.1,136742,262143.0
13.9,173364.4,98049,30774.7
14.0,48968.4,30215,13105.5
14.1,221680.7,128277,68056.9
14.3,115809.7,71511,6109.1
14.5,167468.3,97726,30379.9
14.5,118516.3,61919,19939.3
14.6,109314.7,69086,27997.0
14.6,151049.3,90789,28479.2
14.7,58050.7,37558,22181.2
14.8,66563.6,37985,17499.0
14.9,68834.2,30773,27008.1
15.0,151029.0,91583,15868.1
15.0,107015.2,72646,255294.6
15.0,183306.2,107478,38110.4
15.1,152339.5,91331,232028.7
15.2,122950.6,71423,13488.1
15.2,189864.5,106076,22231.9
15.3,65605.8,34532,17672.0
15.3,113820.7,66782,262143.0
15.3,138009.3,56236,262143.0
15.4,159069.3,91652,33684.0
15.4,170481.5,100819,20507.0
15.5,112204.6,70523,23578.0
15.5,139119.2,87880,27461.2
15.5,178388.3,107792,27416.0
15.5,75578.1,46920,18548.1
15.6,122191.7,79325,250561.7
15.6,127661.0,74098,27340.8
15.6,126325.7,83004,262143.0
15.7,71813.0,42069,261566.3
15.7,144147.9,86983,28086.3
15.7,152585.9,94892,24503.9
15.8,161375.8,96411,16402.1
15.8,146293.7,91284,29834.7
15.8,178563.8,103594,178477.8
15.9,69555.7,37130,11903.2
16.0,183457.5,103070,22927.5
16.0,176492.2,105846,262143.0
16.1,140538.1,83672,23922.1
16.1,183945.0,105812,36459.8
16.1,115769.2,70317,24357.3
16.1,60452.3,35736,172316.1
16.3,101493.6,62453,261883.1
16.3,163209.5,95182,31940.3
16.3,180258.8,98617,26685.7
16.4,236176.2,132805,70611.9
16.4,189955.0,111719,41241.6
16.5,151777.9,93524,24301.8
16.6,140279.9,87213,28303.4
16.6,176116.2,103953,18681.6
16.7,102995.9,68243,166236.2
16.8,206436.4,119780,262143.0
16.8,177288.5,102258,30728.6
16.8,120365.7,71768,15425.4
16.9,198556.0,110263,262143.0
17.0,167692.2,94535,29073.3
17.0,164441.2,93103,25989.1
17.1,185741.4,102113,43531.4
17.1,153395.6,91956,22766.8
17.2,154630.3,91428,26372.6
17.2,79935.2,53813,251584.4
17.2,158889.1,92497,21704.6
17.3,124976.3,84299,30188.1
17.4,160963.9,95463,262143.0
17.4,144196.3,84444,26306.8
17.4,156507.0,95670,22529.9
17.5,158285.4,93534,25817.1
17.5,192571.9,113009,115075.7
17.5,202250.9,107800,187136.1
17.6,141509.9,91491,25085.8
17.6,137675.5,89035,18925.0
17.8,98870.5,62052,27474.3
17.8,112657.7,75934,24055.5
17.9,108055.0,60007,262143.0
17.9,132619.5,81577,22493.3
18.0,178272.9,106712,18513.3
18.0,217185.5,123796,262143.0
18.1,132782.5,86885,26666.9
18.1,177482.8,108840,37748.5
18.2,148871.6,94126,25066.0
18.3,162511.4,102976,26692.2
18.3,205725.8,121928,234307.2
18.4,180088.0,103232,29199.2
18.4,136824.5,91795,21450.8
18.5,130834.9,87679,30290.6
18.5,162050.5,100267,12431.5
18.6,96749.6,68700,28923.8
18.6,62674.6,35120,262143.0
18.6,133621.8,84297,22429.3
18.7,95415.1,58122,22406.8
18.8,213622.5,124295,36918.5
18.9,164796.0,101491,27903.0
18.9,157370.5,98443,18325.3
18.9,105654.1,71905,245197.1
19.0,81662.9,44762,184761.7
19.0,170413.6,100919,24800.0
19.0,147678.2,89771,24434.4
19.1,140467.9,83899,36926.0
19.3,139288.5,84255,25733.4
19.3,159554.5,94552,23593.1
19.3,80827.5,46496,262143.0
19.3,76970.4,55764,17771.6
19.5,201725.2,108668,91545.7
19.6,136705.1,82907,26962.0
19.6,143926.4,87424,26683.8
19.7,100018.6,65536,248739.0
19.7,85312.5,54524,197841.8
19.7,160055.2,100821,254449.5
19.7,52911.3,35869,14257.0
19.7,94010.3,56733,262143.0
19.9,144148.7,96150,27424.5
19.9,160300.1,89493,28548.7
20.0,188824.7,115225,48111.1
20.1,241501.3,144023,96937.5
20.1,216837.7,128076,262143.0
20.1,222427.1,134707,227588.1
20.2,115635.8,76495,28370.1
20.4,141843.8,85874,262143.0
20.7,216844.7,131289,79781.6
20.8,164052.7,102406,32013.6
20.8,150667.9,92932,20963.9
20.8,124531.7,78744,236682.6
20.8,178655.9,108905,28275.2
20.8,147876.3,89694,31472.1
20.9,116549.9,70411,17841.2
20.9,174248.1,100731,12866.7
20.9,188533.0,108453,28425.6
20.9,228270.1,134853,76532.9
21.0,179635.5,99939,26918.8
21.3,94012.6,55933,13746.6
21.4,159944.5,99939,28787.5
21.4,132478.3,81122,226204.4
21.5,106506.7,66333,15790.1
21.5,110069.7,72310,22593.8
21.5,159780.7,97469,23249.0
21.7,55059.4,30432,11700.2
21.7,160369.5,95913,18381.7
21.8,140944.4,81626,25410.1
21.8,170881.6,93846,21429.2
21.9,177024.1,106216,27735.6
21.9,198064.6,110644,24196.5
22.0,152436.2,89718,35194.5
22.1,161678.4,100975,23500.0
22.1,144123.7,90734,221274.1
22.2,230559.4,134180,235420.2
22.3,96304.3,61792,11581.7
22.3,144507.5,90086,21382.2
22.4,127169.6,78484,20668.7
22.4,152176.4,93360,25411.0
22.5,127985.5,79410,27587.1
22.5,161090.3,97721,30399.6
22.6,165396.7,101793,20944.1
22.6,149968.3,90270,25121.5
22.6,168331.0,97609,22446.3
22.7,166530.8,99018,24657.1
22.7,124897.5,56440,37173.2
22.7,129373.1,75970,24660.0
22.7,159272.1,87478,26217.5
22.8,174314.4,108147,262143.0
22.9,140407.0,85901,25210.8
22.9,117891.5,79611,262143.0
22.9,221930.3,132947,80099.3
23.0,194012.5,115807,29360.9
23.2,198117.7,116094,242063.2
23.2,167278.8,100738,20700.7
23.3,160372.7,98874,18904.3
23.4,154181.0,98391,23962.5
23.4,111201.5,75913,262143.0
23.6,153494.6,98929,43167.6
23.6,142333.6,87689,21309.8
23.7,236041.3,131775,133824.0
23.7,135617.8,86058,22034.5
23.9,153867.5,86594,28443.5
24.0,119342.3,69185,218240.7
24.0,184466.1,110805,24675.9
24.0,220591.8,127524,262143.0
24.1,93486.9,61023,27897.3
24.1,53680.4,30983,17377.8
24.2,101417.2,59637,256703.7
24.2,158156.7,102970,35001.8
24.2,100485.1,64572,26211.9
24.3,210405.0,113345,243640.5
24.4,99232.4,63376,36608.3
24.4,139758.1,86642,21629.4
24.4,84470.9,58743,10900.2
24.5,155988.3,98559,26431.9
24.5,133529.8,85803,34463.2
24.5,47643.2,37355,31442.1
24.5,72933.9,49310,262143.0
24.6,177466.4,113893,21272.2
24.7,151446.4,95719,32853.9
24.7,151665.5,92984,31747.6
24.9,153416.6,93793,28318.4
24.9,172685.8,102797,17021.5
25.0,151493.2,98382,22923.8
25.0,165594.8,90262,34953.0
25.1,184671.2,88979,30837.6
25.1,110055.7,62462,224673.2
25.2,146527.7,90741,29709.6
25.3,140044.3,75795,38561.6
25.4,116271.5,67234,235481.3
25.4,164241.5,95568,19534.1
25.5,111291.2,69578,28832.6
25.5,40121.6,30654,8576.6
25.6,157250.3,95150,29821.5
25.6,153130.4,93943,31218.3
25.8,141506.0,75405,18991.8
25.9,136064.8,84717,217323.3
25.9,186559.6,92775,60593.3
25.9,178075.5,91295,25498.4
26.1,136366.6,77141,226951.7
26.2,86781.2,48286,262143.0
26.2,147752.3,88059,24901.5
26.3,185157.2,99126,262143.0
26.3,141691.7,80072,233289.2
26.4,171050.9,106072,76519.8
26.4,157760.5,92103,23139.0
26.5,150151.5,92192,225547.4
26.5,56199.8,36328,7068.8
26.6,193333.9,106432,42810.4
26.6,63632.4,31733,11196.3
26.7,142261.1,87242,19497.5
26.7,57946.2,30685,14928.1
26.8,187357.5,106724,23809.3
26.8,177633.3,104809,23692.7
26.8,118375.9,67606,262143.0
26.9,189476.0,98058,41212.4
26.9,117355.7,70642,262143.0
27.0,139078.7,79758,26139.5
27.1,176609.9,106079,36863.0
27.2,72914.4,42535,13410.0
27.3,172355.8,108376,19826.5
27.3,137649.7,84510,29031.9
27.3,161644.9,96101,36079.1
27.4,136383.8,73893,262143.0
27.4,137852.5,84237,208336.9
27.5,191533.7,102026,37495.7
27.6,174623.3,101561,28436.9
27.8,156308.9,97966,58653.2
28.0,69881.8,38291,15509.1
28.1,98250.4,63397,18393.9
28.2,179424.2,104371,34958.6
28.3,153029.8,90784,28978.3
28.4,165861.5,99756,20158.3
28.5,160576.3,93717,38260.8
28.5,168370.8,91536,25694.0
28.6,118780.0,75775,216932.3
28.7,152676.4,94558,33691.5
28.7,154906.4,96792,39670.8
28.8,172968.1,103007,253434.3
28.8,131763.1,82697,237200.5
28.9,140234.6,91529,29988.8
29.0,225083.8,139093,48807.6
29.0,170813.8,89210,30112.0
29.0,89359.9,55627,16767.7
29.0,193543.0,114182,34567.6
29.1,172188.1,104444,24872.4
29.2,150973.7,92236,31325.5
29.3,171360.5,99232,262143.0
29.4,180616.8,107299,32682.9
29.4,180431.2,101864,262143.0
29.5,116853.4,64854,20109.4
29.6,144509.8,87120,27079.5
29.6,168420.7,106476,87702.0
29.6,151355.9,94944,21119.0
29.6,173546.9,108097,262143.0
29.6,170847.3,99983,42422.2
29.7,130277.2,81161,178260.7
29.8,114301.2,72121,259417.4
29.8,145743.0,89390,28952.9
29.8,173625.7,111058,26392.4
29.9,131936.2,79989,39656.7
29.9,130127.4,82376,27041.9
30.0,117958.6,75555,169686.9
30.0,168246.0,107020,25678.9
30.1,132551.6,79864,24565.0
30.1,132417.5,81317,28310.0
30.2,119808.8,78582,262143.0
30.3,73777.1,30940,24132.6
30.4,74089.1,42626,21101.1
30.4,126054.2,80147,262143.0
30.5,136439.9,86825,17817.7
30.5,188607.9,105765,248785.1
30.5,119791.6,73983,19803.0
30.6,94934.6,54125,22306.2
30.6,163572.2,102541,25378.1
30.6,105473.2,62846,229280.1
30.7,167002.7,91999,31316.1
30.7,154070.3,91544,22008.2
30.7,167819.3,92734,25905.5
30.9,194081.9,116920,96272.0
31.0,228377.8,109887,214808.8
31.0,168727.3,90568,31560.5
31.1,126793.7,80193,27663.3
31.1,153901.8,95058,32502.4
31.1,166945.0,101037,25535.1
31.1,151979.1,98257,21967.8
31.2,157208.2,90091,40788.5
31.2,151460.4,93573,28517.7
31.2,92528.3,58554,20783.4
31.3,168103.3,101710,52810.1
31.3,89296.7,57593,22878.7
31.3,100043.6,62915,209920.8
31.4,150720.2,90511,24689.1
31.4,125323.4,78006,36660.9
31.5,77235.6,46313,189495.5
31.5,55561.7,33238,12853.6
31.5,125275.0,79815,262143.0
31.7,141534.1,84460,28535.6
31.7,60493.7,35426,10354.1
31.7,167771.8,95990,235431.5
31.7,155786.3,98767,246431.3
31.8,153605.4,95306,262143.0
31.8,174908.8,101816,23159.7
31.8,188678.1,106055,25306.7
31.8,143302.4,91566,29173.8
31.9,67312.4,35798,12534.0
31.9,109685.2,40320,262143.0
32.0,158946.8,92111,29043.2
32.0,151527.5,89695,30206.9
32.0,132958.0,73258,100710.7
32.2,212826.9,123592,262143.0
32.3,149896.5,81022,44907.6
32.3,150873.0,92813,24221.0
32.3,66667.4,30379,14175.2
32.4,179054.5,104000,26684.7
32.5,158185.5,93991,27696.2
32.6,223307.8,123446,218964.5
32.6,145045.7,87293,27174.5
32.8,181124.6,110421,37665.8
32.8,54826.2,32553,17782.9
32.8,218325.9,122253,72880.1
32.8,164269.5,80396,28950.1
32.9,75904.9,39344,11800.8
32.9,176441.5,87708,24678.8
33.0,182981.8,106310,22120.1
33.0,124071.5,66030,42270.9
33.1,66115.1,37463,18699.4
33.1,141573.1,75579,35191.7
33.2,192288.7,92362,262143.0
33.3,169814.6,89587,29911.7
33.3,83111.3,43216,8705.3
33.3,177976.5,103445,28924.7
33.4,145609.6,87509,262143.0
33.7,59627.9,30744,16268.6
33.7,171940.9,96167,262143.0
33.7,179463.2,95253,39276.0
33.8,165487.1,98616,242020.9
33.9,187326.4,106810,26820.1
33.9,153802.0,96264,20459.1
34.1,215351.0,126843,93209.5
34.4,118277.6,71544,32802.2
34.5,111900.4,60804,17077.9
34.6,127173.5,80955,24152.4
34.6,109671.1,63205,15850.3
34.6,194120.9,109206,26820.1
34.7,110135.2,73904,207166.6
34.7,136822.9,87130,51989.5
34.7,219884.3,119945,42817.9
34.8,154081.2,92576,27104.0
34.8,44594.2,30162,5969.9
34.9,134603.8,83527,26830.4
34.9,90092.3,43043,219425.1
35.0,120183.2,81044,21569.2
35.0,184512.1,103068,225251.3
35.1,63789.2,40524,28037.4
35.1,165303.0,102953,27335.2
35.2,162332.8,97533,262143.0
35.2,51929.3,33049,262143.0
35.2,201006.8,116953,25351.8
35.3,198967.1,120410,36470.1
35.3,137530.4,89455,23342.1
35.3,167803.7,99700,262143.0
35.3,157787.8,100023,29339.3
35.3,133975.9,79190,35267.9
35.4,139243.3,79053,214299.3
35.5,127373.2,73797,38189.4
35.5,144859.3,89937,25880.1
35.6,53846.5,37028,13093.3
35.6,176482.0,109104,28916.3
35.6,95936.9,65793,18178.7
35.7,235857.2,113779,104781.8
35.8,174223.9,104257,34165.2
35.8,136145.1,81113,19850.9
35.8,112880.0,70494,24764.3
35.8,185004.3,113406,24058.4
35.9,109533.1,52410,236704.2
35.9,178357.1,106412,21213.9
36.1,149302.1,87776,27711.2
36.1,138303.4,76803,196248.5
36.1,159395.3,93944,30010.4
36.2,190270.9,110198,22654.0
36.2,150267.0,76645,36780.3
36.3,169377.0,93065,32179.0
36.3,142203.4,80303,40534.7
36.4,173997.7,103198,231754.2
36.4,75786.4,47040,222789.4
36.4,218350.1,119542,215379.4
36.4,118776.1,66739,216893.7
36.5,164070.7,96640,16644.6
36.5,49940.3,31256,14862.3
36.6,172257.5,94677,29707.8
36.7,123493.5,73657,26113.2
36.7,102105.9,59206,21673.6
36.9,167574.4,95266,17748.1
37.1,69968.3,37560,191710.2
37.1,82571.6,50550,197374.6
37.2,210092.2,118203,42121.4
37.3,160373.5,95752,24299.9
37.3,203424.8,112542,29515.1
37.3,236014.7,140363,65946.6
37.3,187430.9,97800,139632.3
37.5,106629.1,60646,5170.9
37.5,160696.4,94489,262143.0
37.6,152802.0,88314,21447.0
37.7,172280.9,92858,26736.4
37.8,146026.9,81043,232025.8
37.8,169398.0,99055,22249.8
38.0,166824.8,90891,25947.8
38.1,184484.8,103299,231687.4
38.1,79767.5,46832,225128.1
38.1,153305.1,88750,262143.0
38.3,177077.2,106494,22499.8
38.4,163627.6,97318,19596.2
38.5,192298.9,107071,39578.7
38.6,141514.6,83924,262143.0
38.6,49351.4,30307,246686.1
38.6,168349.0,92179,25634.7
38.6,173293.4,97573,21296.6
38.7,134211.5,74374,247250.1
38.8,236194.1,118058,214712.9
38.9,139247.2,84675,262143.0
38.9,138193.4,86229,21083.3
39.0,59075.6,35167,11418.2
39.0,142867.1,80979,227637.0
39.0,165361.5,99881,30237.0
39.1,232670.1,136814,163359.8
39.1,170362.1,103787,36021.7
39.1,82899.2,62061,22748.0
39.3,101619.2,65167,16294.0
39.4,135810.5,88793,30360.1
39.4,125218.1,82165,30689.1
39.5,49576.8,32233,262143.0
39.7,154350.3,95638,24786.9
39.8,120478.8,79059,28066.5
39.8,228887.9,131270,254505.0
39.9,124208.0,77369,25433.6
40.0,236293.2,118074,144562.6
40.1,203660.3,109355,207129.9
40.1,210341.8,121424,83831.1
40.2,190728.7,110179,24557.5
40.2,154129.5,97067,37216.5
40.4,134614.0,85804,23645.7
40.4,148257.7,95583,31228.7
40.5,152931.5,92359,39448.0
40.7,99074.0,65628,26678.1
40.7,169866.0,103815,25828.4
40.8,145041.8,94327,25335.8
40.8,171643.7,103674,29253.7
40.8,229867.5,131957,56500.6
40.9,141770.5,87179,17627.8
41.0,133188.9,78771,18094.1
41.0,125587.0,80154,13223.0
41.0,142069.2,81665,39457.4
41.0,132642.1,89530,241334.7
41.1,179718.2,104521,27881.3
41.1,180612.9,104404,28579.8
41.2,142143.3,84163,20590.7
41.2,163966.9,91570,25643.2
41.3,143487.2,83109,19865.0
41.3,146581.5,89213,12314.9
41.4,242767.2,138308,89965.5
41.4,163025.5,100840,19954.3
41.4,150278.7,91396,19516.3
41.5,153091.4,89467,29045.1
41.6,169540.8,92145,239930.3
41.6,167314.7,90751,33294.8
41.6,133538.3,80945,30492.7
41.8,240778.2,136136,173468.5
41.9,244365.4,131371,100990.8
42.0,145361.6,89796,34060.0
42.0,108566.6,68525,15461.1
42.1,144985.6,89146,16336.3
42.2,228275.6,118518,106381.7
42.3,212812.9,119194,205865.6
42.4,161108.2,97646,24529.3
42.4,108143.1,60055,192707.5
42.6,206491.7,114446,154315.1
42.6,154528.1,88054,32631.2
42.9,148802.9,91940,29893.9
43.0,193818.3,111953,33993.2
43.1,155924.3,90482,29132.5
43.2,122993.5,73982,262143.0
43.2,94324.6,62445,15707.4
43.2,164662.7,96875,36234.2
43.2,138143.5,85307,185182.8
43.2,155784.7,89070,262143.0
43.2,112396.4,70779,17652.3
43.4,131908.1,81433,202860.5
43.4,160251.8,87395,262143.0
43.4,125480.2,81351,251322.2
43.5,94366.7,59564,20861.4
43.5,146345.9,89827,262143.0
43.6,218666.0,94408,243695.9
43.6,128226.5,73638,262143.0
43.6,151335.6,90995,18350.7
43.7,153305.1,91444,18467.2
43.7,45965.4,32663,12376.0
43.7,95069.5,63741,12618.6
43.8,155062.4,94859,29399.4
44.0,152055.5,92966,23728.4
44.1,121857.1,80494,24879.9
44.2,149386.4,92028,24124.2
44.4,71462.8,46802,13100.8
44.4,155099.9,97756,20555.9
44.4,156517.1,95029,261634.9
44.5,148193.8,89192,24231.3
44.5,134752.8,85432,11150.3
44.5,195176.3,114889,43200.5
44.6,98473.4,64592,230529.4
44.6,145901.3,90044,21959.3
44.9,118716.0,77395,262143.0
44.9,125302.3,80425,33445.2
44.9,190985.3,107339,262143.0
45.0,184669.7,112120,262143.0
45.1,177949.2,93994,262143.0
45.2,139343.1,86119,24076.2
45.2,110110.3,58767,180199.9
45.2,110764.7,72833,17234.9
45.3,163846.8,97615,27468.7
45.3,144949.0,80005,48996.6
45.3,145876.4,87543,33382.2
45.4,135207.5,80829,26052.1
45.5,134651.4,85114,28664.4
45.5,173130.4,102999,28472.6
45.5,145863.1,89359,17675.8
45.7,137427.4,86109,35447.4
45.7,120770.5,64480,262143.0
45.7,165707.1,102449,16755.5
45.8,126977.0,78129,33343.7
45.8,48994.9,30482,251337.2
45.8,161390.6,101666,25737.2
45.9,164583.9,91170,262143.0
45.9,162480.2,91669,22699.1
46.0,156161.5,93644,17237.7
46.0,189036.9,110701,26262.7
46.2,162481.8,102457,21994.1
46.4,83715.1,57331,6556.5
46.4,154582.0,94481,32057.8
46.4,164551.9,100586,26414.9
46.4,50117.3,32524,240818.6
46.5,154365.1,91881,13735.3
46.6,159373.5,91739,19178.8
46.6,144784.4,91202,262143.0
46.6,99028.8,65052,262143.0
46.6,174645.9,95336,22479.2
46.6,164583.1,102052,57211.2
46.7,157897.7,89733,32370.8
46.7,163461.5,91160,20226.9
46.7,135335.5,77874,33362.5
46.8,154184.9,93982,20004.1
46.8,177462.5,105819,22803.5
47.0,130149.2,90134,259376.1
47.0,180966.2,107654,28065.6
47.1,160974.0,85888,26583.2
47.1,51994.8,33058,14674.3
47.1,146198.5,92838,262143.0
47.1,166166.5,87871,30849.9
47.2,136154.5,84543,32463.8
47.2,143186.9,86688,27531.7
47.3,185811.6,90167,155321.8
47.3,152738.0,98559,262143.0
47.4,56614.0,35176,10358.8
47.4,138452.3,76759,24079.0
47.4,156510.9,90520,29189.8
47.4,150653.9,89071,26869.9
47.7,191963.5,111474,54230.5
47.8,178574.0,102998,223887.3
47.8,54350.4,32950,7303.8
47.9,104697.8,63346,198133.2
48.0,127781.9,86470,262143.0
48.2,155639.6,94441,262143.0
48.3,172837.9,101314,25064.2
48.3,138711.3,84568,24698.5
48.3,122506.8,73316,29838.4
48.4,180868.0,98018,30654.3
48.4,165505.9,93182,262143.0
48.4,197818.9,117096,33500.7
48.4,107675.9,66242,19123.4
48.4,94141.3,58288,10340.0
48.6,185828.0,109244,262143.0
48.6,234049.9,137743,71425.9
48.6,143887.4,88837,21652.0
48.7,136347.9,92469,30872.4
48.8,182266.5,110914,262143.0
48.8,220075.4,140873,80052.3
48.8,149846.6,95305,21545.7
